,date,close,high,low,open,volume,daily_return,log_return,sma_20,sma_50,sma_200,volatility_20,volatility_annual,cumulative_return,rolling_max,drawdown,max_drawdown
0,2023-01-03,123.09603118896484,128.83401111884518,122.21023430585915,128.2238013285794,112117500,,,,,,,,,,,
1,2023-01-04,124.36565399169922,126.62935597280962,123.10585750129947,124.88728777203856,89113600,0.01031408397550515,0.010261256743876564,,,,,,1.0103140839755052,1.0103140839755052,0.0,0.0
2,2023-01-05,123.04680633544922,125.75340309203497,122.79091532129203,125.12350481122068,80962700,-0.010604597120825843,-0.01066122657169625,,,,,,0.9996001101494487,1.0103140839755052,-0.010604597120825836,-0.010604597120825836
3,2023-01-06,127.57422637939453,128.23365008945973,122.91888331158243,124.02120925912487,87754700,0.0367942913658621,0.03613354058785056,,,,,,1.0363796878516354,1.0363796878516354,0.0,-0.010604597120825836
4,2023-01-09,128.09585571289062,131.30441322455866,127.83996466106093,128.4108124086458,70790800,0.004088830074068461,0.004080493525142925,,,,,,1.0406172682874768,1.0406172682874768,0.0,-0.010604597120825836
5,2023-01-10,128.66668701171875,129.18832083166095,126.09787998496417,128.20410381019116,63896200,0.004456282333657802,0.004446382507589768,,,,,,1.0452545526362456,1.0452545526362456,0.0,-0.010604597120825836
6,2023-01-11,131.3831329345703,131.4028064616691,128.40095662151043,129.1784814447806,69458900,0.021112270673481648,0.02089249461956012,,,,,,1.067322249674191,1.067322249674191,0.0,-0.010604597120825836
7,2023-01-12,131.30441284179688,132.14098840377943,129.36550386584642,131.76699610111268,71379600,-0.0005991643753284759,-0.0005993439460346365,,,,,,1.0666827482051908,1.067322249674191,-0.0005991643753284183,-0.010604597120825836
8,2023-01-13,132.63307189941406,132.7905502170586,129.58200833933589,129.94616380817476,57809700,0.010118921587334961,0.010068068067746412,,,,,,1.077476427292842,1.077476427292842,0.0,-0.010604597120825836
9,2023-01-17,133.79449462890625,135.12317889828967,132.0130638191195,132.70201288672166,63646600,0.008756660106409742,0.00871854291619618,,,,,,1.0869115221393142,1.0869115221393142,0.0,-0.010604597120825836
10,2023-01-18,133.07598876953125,136.42232060237055,132.8988218980733,134.6605787592018,69672800,-0.005370219913516272,-0.005384691377691978,,,,,,1.0810745682388914,1.0869115221393142,-0.00537021991351627,-0.010604597120825836
11,2023-01-19,133.13502502441406,134.09955338686564,131.65869966602656,131.96380450388668,58280400,0.00044362815131937516,0.00044352977744425856,,,,,,1.0815541633510375,1.0869115221393142,-0.004928974142929386,-0.010604597120825836
12,2023-01-20,135.69400024414062,135.84164181281548,132.10161400912494,133.14488168206822,80223600,0.01922090163168777,0.019038513505862532,,,,,,1.1023426095341502,1.1023426095341502,0.0,-0.010604597120825836
13,2023-01-23,138.8828582763672,141.0579844042408,135.72351517113088,135.94004410758743,81760300,0.023500361301820094,0.023228479125319845,,,,,,1.128248059136594,1.128248059136594,0.0,-0.010604597120825836
14,2023-01-24,140.2804718017578,140.90053342355856,138.0856717213938,138.0955084866108,66435100,0.010063254333443128,0.010012956945027443,,,,,,1.1396019063068992,1.1396019063068992,0.0,-0.010604597120825836
15,2023-01-25,139.62103271484375,140.18202862963406,136.61916767862735,138.6663409653264,65799300,-0.004700861627026542,-0.004711945426290688,,,,,,1.1342447954354549,1.1396019063068992,-0.004700861627026458,-0.010604597120825836
16,2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100,0.014803385804294633,0.014694885162625551,,,,,,1.1510354587387992,1.1510354587387992,0.0,-0.010604597120825836
17,2023-01-27,143.62677001953125,144.9062550377642,140.82176076743906,140.90049992434123,70555800,0.013684113716012414,0.013591331700119932,,,,,,1.1667863588473435,1.1667863588473435,0.0,-0.010604597120825836
18,2023-01-30,140.7430419921875,143.2527985417942,140.59541543784155,142.6721140707524,64015300,-0.020077928557131863,-0.020282229415166483,,,,,,1.1433597056929705,1.1667863588473435,-0.02007792855713186,-0.02007792855713186
19,2023-01-31,142.01266479492188,142.06187864867766,140.03439402480078,140.4477633640219,65874500,0.009020856624690987,0.008980411747224724,133.6360061645508,,,,,1.1536737896684757,1.1667863588473435,-0.011238192047275563,-0.02007792855713186
20,2023-02-01,143.13467407226562,144.29605796571016,139.08955653554688,141.69772563249788,77663600,0.007900769124810303,0.007869721474753165,134.63793830871583,,,0.012757881802307918,0.20252509502917956,1.1627886999259913,1.1667863588473435,-0.0034262132832110098,-0.02007792855713186
21,2023-02-02,148.43963623046875,148.79393998354684,145.83145179927072,146.54992610628193,118339000,0.03706273265082349,0.03639242177720151,135.8416374206543,,,0.014354428570093149,0.2278694892534418,1.205884826640747,1.205884826640747,0.0,-0.02007792855713186
22,2023-02-03,152.06153869628906,154.8960886893848,145.496812581912,145.6936529941079,154357300,0.02439983388396949,0.024106913183877428,137.2923740386963,,,0.013969197984783816,0.22175414329657572,1.2353082160939806,1.2353082160939806,0.0,-0.02007792855713186
23,2023-02-06,149.33523559570312,150.68362304726807,148.40023248441526,150.16198925829823,69858300,-0.017928945898878168,-0.018091616726823776,138.38042449951172,,,0.013955416765609518,0.22153537322438493,1.213160441919192,1.2353082160939806,-0.017928945898878133,-0.02007792855713186
24,2023-02-07,152.20913696289062,152.77998456473935,148.26243261630023,148.26243261630023,83322600,0.01924463008159738,0.019061794203565317,139.58608856201172,,,0.014142221583027779,0.22450080776797018,1.236507265853554,1.236507265853554,0.0,-0.02007792855713186
25,2023-02-08,149.52224731445312,152.14026818212696,148.78408455222657,151.45131927430748,64120100,-0.017652617326728404,-0.01781028300606509,140.62886657714844,,,0.01531169949397874,0.24306569406492767,1.214679676267722,1.236507265853554,-0.017652617326728372,-0.02007792855713186
26,2023-02-09,148.4888153076172,151.89421276586904,148.04592065726195,151.35289040745275,56007100,-0.006911560155075658,-0.006935555614923692,141.4841506958008,,,0.015297164288143126,0.24283495482555068,1.2062843446160498,1.236507265853554,-0.02444217035525589,-0.02444217035525589
27,2023-02-10,148.85353088378906,149.17882019931434,147.08909918660703,147.32567733632254,57450700,0.002456182140158525,0.0024531706549684664,142.3616065979004,,,0.015240326019390545,0.24193267528112597,1.2092471986792486,1.236507265853554,-0.022046022637390684,-0.02444217035525589
28,2023-02-13,151.65298461914062,152.0571182724141,148.7648180243575,148.79438841262413,62199000,0.01880676742251497,0.018632106643815285,143.3126022338867,,,0.015473878072906613,0.24564019919187777,1.231989229501137,1.236507265853554,-0.0036538696352085916,-0.02444217035525589
29,2023-02-14,151.01226806640625,151.5741355635304,148.7056873791277,149.9476888936107,61707600,-0.004224885875760753,-0.004233835923608195,144.17349090576172,,,0.01566022098881772,0.24859830127635424,1.2267842156063282,1.236507265853554,-0.007863318328755711,-0.02444217035525589
30,2023-02-15,153.11183166503906,153.27940219693946,150.6968215839401,150.92353288699502,65573800,0.013903265115583485,0.013807501323892949,145.1752830505371,,,0.015503828380781254,0.24611564558983448,1.2438405217955162,1.2438405217955162,0.0,-0.02444217035525589
31,2023-02-16,151.51498413085938,154.09756497312395,151.16012443154224,151.3178281549916,68167900,-0.010429288950530524,-0.010484055098652814,146.0942810058594,,,0.01593599905121288,0.2529761422972233,1.2308681495853322,1.2438405217955162,-0.010429288950530437,-0.02444217035525589
32,2023-02-17,150.3715362548828,150.8151070910907,148.69581585093724,150.17439533222245,59144100,-0.007546764318629995,-0.0075753852322557585,146.8281578063965,,,0.015944906737848784,0.2531175474387963,1.2215790777531035,1.2438405217955162,-0.01789734588343989,-0.02444217035525589
33,2023-02-21,146.3596954345703,149.13943294111823,146.29070285864162,148.05513496887053,58867200,-0.026679522735688188,-0.027041880765240146,147.20199966430664,,,0.016847539060627335,0.26744639134720005,1.1889879309747486,1.2438405217955162,-0.04409937597272229,-0.04409937597272229
34,2023-02-22,146.7835235595703,147.80866542554767,145.0585140913541,146.74408634882758,51011300,0.0028957980798032246,0.0028916133333842854,147.52715225219725,,,0.01676000793233136,0.2660568777625118,1.1924309999421745,1.2438405217955162,-0.04133128078118142,-0.04409937597272229
35,2023-02-23,147.2665252685547,148.1931042440918,145.1373820304515,147.94667430552937,48394200,0.00329057170226843,0.003285169618589748,147.9094268798828,,,0.0166768298745068,0.264736467029265,1.1963547796474918,1.2438405217955162,-0.0381767126218701,-0.04409937597272229
36,2023-02-24,144.61495971679688,145.0881010134071,143.6390916917033,145.00924162382364,55469600,-0.01800521569258473,-0.018169281937687277,148.05578002929687,,,0.01704364214488198,0.27055943130082327,1.174814153795084,1.2438405217955162,-0.05549454836926425,-0.05549454836926425
37,2023-02-27,145.80764770507812,147.03979725813033,145.34435826985944,145.60065500306268,44998500,0.008247334788993532,0.008213511364914402,148.16482391357422,,,0.016875913628237767,0.2678968236439372,1.1845032394362802,1.2438405217955162,-0.04770489569963604,-0.05549454836926425
38,2023-02-28,145.30494689941406,146.95109701970668,144.7332276594082,144.95008720013072,50547000,-0.0034476984820498435,-0.0034536554903815304,148.39291915893554,,,0.016183995785324146,0.25691296840371103,1.1804194294156927,1.2438405217955162,-0.050988122085195875,-0.05549454836926425
39,2023-03-01,143.2349395751953,145.1275197577975,142.93922063146897,144.73323786008925,55479000,-0.014245952174303467,-0.014348399891774898,148.45403289794922,,,0.01646537002419174,0.2613796459720134,1.1636032306786182,1.2438405217955162,-0.06450769991081608,-0.06450769991081608
40,2023-03-02,143.82640075683594,144.61497972086136,141.84509404159934,142.31825044455022,52238100,0.004129307998417042,0.004120805803561956,148.48861923217774,,,0.016398294699337772,0.2603148581999786,1.1684081068060432,1.2438405217955162,-0.06064476407360028,-0.06450769991081608
41,2023-03-03,148.8732452392578,148.95210462024477,145.2260853537234,145.9259379185379,70732300,0.03508983368744989,0.03448821878407692,148.5102996826172,,,0.016170287582238037,0.25669535742598654,1.2094073529529354,1.2438405217955162,-0.027682945071507693,-0.06450769991081608
42,2023-03-06,151.63330078125,154.06803024605406,151.26858921507775,151.59386356059247,87558000,0.018539634422265916,0.018369870431516763,148.48888778686523,,,0.015757862097666272,0.2501483058268534,1.2318293231442832,1.2438405217955162,-0.009656542330599212,-0.06450769991081608
43,2023-03-07,149.4351348876953,151.83042689733767,148.97184535612897,151.50513754277677,56182000,-0.014496590671239318,-0.014602692903960409,148.49388275146484,,,0.015570164025068169,0.247168691296889,1.2139719976698307,1.2438405217955162,-0.02401314606037238,-0.06450769991081608
44,2023-03-08,150.68698120117188,151.278419098267,149.66183922588297,150.62784041964048,47204800,0.008377188633833299,0.008342294728908047,148.41777496337892,,,0.015049579217160207,0.2389046636686322,1.2241416700905023,1.2438405217955162,-0.015837120080778554,-0.06450769991081608
45,2023-03-09,148.4395294189453,152.33311931510104,148.08466971716794,151.36711819838627,53833600,-0.014914704404530799,-0.015027047045969893,148.3636390686035,,,0.014896007347104378,0.2364667858093751,1.2058839589318338,1.2438405217955162,-0.030515618520685548,-0.06450769991081608
46,2023-03-10,146.37939453125,148.78455331931613,145.50210448552664,148.0649820559655,68572400,-0.013878613707275611,-0.013975822126545625,148.25816802978517,,,0.015139264977650103,0.240328380979032,1.1891479612900187,1.2438405217955162,-0.04397071774647396,-0.06450769991081608
47,2023-03-13,148.32127380371094,150.95314411845015,145.59082548311505,145.69925527320058,84457100,0.013266069850059292,0.013178846109433177,148.23155517578124,,,0.015444260815357628,0.2451700398039356,1.2049232812065476,1.2438405217955162,-0.03128796650939669,-0.06450769991081608
48,2023-03-14,150.41098022460938,151.209410853691,147.95654755608294,149.11968969699433,73695900,0.014089053898390658,0.013990725670045567,148.1694549560547,,,0.015174508359894406,0.2408878523277073,1.2218995102588923,1.2438405217955162,-0.017639730457527984,-0.06450769991081608
49,2023-03-15,150.8052520751953,151.0615337650689,147.77908558210245,149.03095372752588,77167900,0.0026212969957191135,0.002617867388787427,148.15910415649415,142.61224548339842,,0.015158569407422757,0.24063482930131413,1.2251024717742045,1.2438405217955162,-0.015064672434262568,-0.06450769991081608
50,2023-03-16,153.6244354248047,154.22572509887632,149.47454848721353,149.98712698991974,76161100,0.01869419871533151,0.018521609805611208,148.18473434448242,143.22281356811524,,0.015424691865081086,0.24485939234883367,1.2480047808281953,1.2480047808281953,0.0,-0.06450769991081608
51,2023-03-17,152.7865447998047,154.50170239485772,152.07682545294745,153.85112382009055,98944600,-0.00545414941759137,-0.005469077595611489,148.2483123779297,143.79123138427735,,0.015282355294592268,0.2425998693409343,1.24119797627969,1.2480047808281953,-0.005454149417591285,-0.06450769991081608
52,2023-03-20,155.15228271484375,155.5662982460434,151.94869352566715,152.85556893212473,73641400,0.01548394145661769,0.015365288478130963,148.48734970092772,144.43334091186523,,0.015507874854881707,0.24617988137477326,1.2604166130804773,1.2604166130804773,0.0,-0.06450769991081608
53,2023-03-21,157.00546264648438,157.1237442200261,154.3045847371103,155.0734600878072,73938300,0.0119442646876593,0.011873494929313293,149.01963806152344,145.02196563720702,,0.014134476948247626,0.22437786550223035,1.2754713627238334,1.2754713627238334,0.0,-0.06450769991081608
54,2023-03-22,155.57615661621094,159.82460651427928,155.5564380089166,157.0251659140942,75701800,-0.009103543317417473,-0.009145233781399534,149.45926971435546,145.57157165527343,,0.01441826492548805,0.22888285997931967,1.2638600539231515,1.2754713627238334,-0.009103543317417504,-0.06450769991081608
55,2023-03-23,156.66041564941406,159.2430113419942,155.4282660956086,156.5618527096425,67622100,0.006969313658248266,0.006945140241575046,149.92896423339843,146.13144622802736,,0.01444545465545572,0.22931448356157638,1.2726682910590725,1.2754713627238334,-0.0021976751079497404,-0.06450769991081608
56,2023-03-24,157.96160888671875,158.0503200650471,155.5958872192805,156.5914588714899,59196500,0.008305820151891963,0.008271516642654322,150.59629669189454,146.66301574707032,,0.01358558983413351,0.21566455269146703,1.2832388449976249,1.2832388449976249,0.0,-0.06450769991081608
57,2023-03-27,156.0197296142578,158.47417734472043,155.61558088418133,157.6560281012329,52390300,-0.012293362204569225,-0.012369550633585077,151.1069007873535,147.15732208251953,,0.014056500554830374,0.22314002863153565,1.267463525081096,1.2832388449976249,-0.012293362204569265,-0.06450769991081608
58,2023-03-28,155.398681640625,156.2266974968931,153.75253179068108,155.71411911746748,45992200,-0.003980573323439818,-0.003988516892411366,151.61158752441406,147.61263427734374,,0.01407082818880015,0.22336747276969557,1.2624182935847252,1.2832388449976249,-0.016225000898362114,-0.06450769991081608
59,2023-03-29,158.4741668701172,158.75016719414856,157.074446643704,157.09415020907082,51305700,0.019790935141937416,0.019597640740751078,152.37354888916016,148.10622772216797,,0.013873953372226834,0.22024218194530887,1.2874027321550559,1.2874027321550559,0.0,-0.06450769991081608
60,2023-03-30,160.04144287109375,160.14987263415844,158.96701206310877,159.2232937572216,49501700,0.009889788549960254,0.009841204651556622,153.18430099487304,148.64553680419922,,0.013911196531102855,0.22083339876385538,1.3001348729547104,1.3001348729547104,0.0,-0.06450769991081608
61,2023-03-31,162.545166015625,162.64374399803975,159.59787385661696,160.1203040734608,68749800,0.015644217520257575,0.01552310822304877,153.8678970336914,149.23373962402343,,0.012318759897598222,0.1955542508985624,1.3204744657128864,1.3204744657128864,0.0,-0.06450769991081608
62,2023-04-03,163.7970428466797,163.91532439911353,161.87489241518372,161.92418140899423,56976200,0.007701716770428968,0.0076722099550746966,154.4760841369629,149.79580047607422,,0.011898702934920161,0.18888605334019865,1.3306443860503905,1.3306443860503905,0.0,-0.06450769991081608
63,2023-04-04,163.2647247314453,164.45743689721806,162.7521463827181,164.22087384464078,46278300,-0.003249864014533199,-0.0032551562918213587,155.16756362915038,150.2834378051758,,0.011228785788566604,0.17825144833058124,1.3263199727440247,1.3306443860503905,-0.0032498640145332044,-0.06450769991081608
64,2023-04-05,161.42144775390625,162.69303455117807,159.489445623491,162.38746386000238,51511700,-0.011290111691739102,-0.011354328805849474,155.70428695678712,150.70625732421874,,0.011721305600147808,0.18606995795387876,1.3113456721127603,1.3306443860503905,-0.01450328437856524,-0.06450769991081608
65,2023-04-06,162.30862426757812,162.60434321282244,159.686606015777,160.1104583059446,45390100,0.005496026246923691,0.005480978205777543,156.39774169921876,151.16000915527343,,0.010891722857519076,0.1729007401801996,1.3185528623454819,1.3306443860503905,-0.009086968563252728,-0.06450769991081608
66,2023-04-10,159.71615600585938,159.71615600585938,157.79400566862077,159.11486640899105,47716900,-0.01597246155844967,-0.016101396100402874,157.06457977294923,151.5205743408203,,0.011086329399611176,0.1759900232634911,1.2974923274388848,1.3306443860503905,-0.02491428886564308,-0.06450769991081608
67,2023-04-11,158.5037384033203,160.04145880285023,158.21787125365222,160.03160702009572,47644200,-0.007591076775567918,-0.007620035644624659,157.57370300292968,151.8181137084961,,0.011191649874226871,0.17766193396626964,1.287642963565586,1.3306443860503905,-0.03231623936162318,-0.06450769991081608
68,2023-04-12,157.813720703125,159.74572277857914,157.49828319805357,158.9177218890988,50133100,-0.004353321297946522,-0.00436282459173115,157.94384002685547,152.15952728271483,,0.011021743754309142,0.17496475792908825,1.282037440028145,1.3306443860503905,-0.03652887768648721,-0.06450769991081608
69,2023-04-13,163.19577026367188,163.43234843413578,159.11489082873655,159.3218986080038,68445600,0.03410381262521178,0.03353517010385413,158.5633659362793,152.58318939208985,,0.013098168331143396,0.20792697620800404,1.325759804661371,1.3306443860503905,-0.0036708390613046232,-0.06450769991081608
70,2023-04-14,162.8507537841797,163.9449032227771,161.48060404043056,162.23959735915352,49386500,-0.002114126358390034,-0.0021163642782395338,159.02468185424806,152.97751098632813,,0.012692771682256066,0.201491503916235,1.3229569809134423,1.3306443860503905,-0.005777204802077822,-0.06450769991081608
71,2023-04-17,162.8704833984375,163.02820218114718,161.6876226098968,162.73248322378927,41516200,0.00012115150712754819,0.00012114416887639603,159.52887878417968,153.2661279296875,,0.012557916555117048,0.19935074513964396,1.323117259145545,1.3306443860503905,-0.00565675321201899,-0.06450769991081608
72,2023-04-18,164.0927276611328,165.01930640497494,163.28443044513912,163.7280162563428,49923000,0.007504393903622786,0.007476376023853828,159.97590103149415,153.50675170898438,,0.012273145676750991,0.1948301475909039,1.3330464522388548,1.3330464522388548,0.0,-0.06450769991081608
73,2023-04-19,165.23622131347656,165.75865162452376,163.1760554202755,163.43235220441335,47720200,0.006968582146462676,0.006944413792376078,160.38743896484374,153.82477142333985,,0.01212924134697387,0.19254573717584977,1.3423358959463318,1.3423358959463318,0.0,-0.06450769991081608
74,2023-04-20,164.27020263671875,165.47278202514906,163.19577163848064,163.71820194187683,52456400,-0.005846288840781089,-0.005863445287761647,160.82214126586913,154.0659927368164,,0.011984440627168231,0.19024709701023657,1.334488212577281,1.3423358959463318,-0.005846288840781025,-0.06450769991081608
75,2023-04-21,162.66346740722656,164.0730393438838,162.14103717495192,162.69303779464673,58337300,-0.009781050998308283,-0.009829199698134039,161.12229385375977,154.32881713867187,,0.012259160074789792,0.19460813304255467,1.3214355153134214,1.3423358959463318,-0.015570156989786752,-0.06450769991081608
76,2023-04-24,162.96902465820312,163.23517316391397,161.5495860155954,162.64373538253156,41949600,0.001878462668028602,0.0018767005633844533,161.37266464233397,154.61842132568358,,0.012167755213377058,0.19315712585103215,1.3239177825971449,1.3423358959463318,-0.013720942280398756,-0.06450769991081608
77,2023-04-25,161.4313201904297,163.93504162144998,161.3918829793584,162.83104036567903,48714100,-0.009435562807094677,-0.00948035974205902,161.64324417114258,154.8699771118164,,0.012011401848184708,0.19067509312535003,1.31142587320802,1.3423358959463318,-0.023027040274834244,-0.06450769991081608
78,2023-04-26,161.42144775390625,162.91974586384254,160.47516529354857,160.73144699304368,45498800,-6.11556450866857e-05,-6.115751516939314e-05,161.94438247680665,155.0653463745117,,0.011944354493085788,0.18961074935941175,1.3113456721127605,1.3423358959463318,-0.02308678768641849,-0.06450769991081608
79,2023-04-27,166.00506591796875,166.1529178634098,162.83104713478986,162.83104713478986,64902300,0.02839534787874287,0.027999672749757377,162.32092742919923,155.36520233154297,,0.012747946102126607,0.20236737067849325,1.3485817886616862,1.3485817886616862,0.0,-0.06450769991081608
80,2023-04-28,167.25692749023438,167.424513091262,165.4826438930684,166.08393356927388,55275900,0.007541104636434648,0.007512812653044108,162.68170166015625,155.64810424804688,,0.012685990339178575,0.2013838534322067,1.358751585040774,1.358751585040774,0.0,-0.06450769991081608
81,2023-05-01,167.16824340820312,168.01596317037598,166.23181245997438,166.86267262897096,52472900,-0.0005302266600373251,-0.0005303672799019634,162.91285552978516,155.96116943359374,,0.012299045352605207,0.19524129219898853,1.3580311387260176,1.358751585040774,-0.0005302266600372874,-0.06450769991081608
82,2023-05-02,166.1332244873047,167.91739013162538,165.14750459229282,167.66109333275145,48425700,-0.006191480509674663,-0.006210727209964061,163.0296646118164,156.27640319824218,,0.0123211314824162,0.19559189864041118,1.3496229153990642,1.358751585040774,-0.006718424281680561,-0.06450769991081608
83,2023-05-03,165.0587615966797,168.47921017635485,164.77290950021637,167.07949000013943,65136000,-0.006467477495491036,-0.00648848224219921,163.11936645507814,156.65038452148437,,0.012397285969933709,0.1968008136515686,1.3408942595663218,1.358751585040774,-0.013142450519324634,-0.06450769991081608
84,2023-05-04,163.42245483398438,164.65460440159984,161.96359395737636,162.53531316165655,81235400,-0.009913480186490298,-0.009962945921092918,163.21941680908202,156.98316314697266,,0.012331332540727599,0.19575383542082098,1.3276013308919326,1.358751585040774,-0.02292564328298963,-0.06450769991081608
85,2023-05-05,171.0913848876953,171.8109560965244,168.32149974515366,168.5383592942621,113453200,0.04692702763216694,0.04585923283308447,163.6585548400879,157.45966033935548,,0.016089084599685045,0.25540630004067494,1.3899017152311999,1.3899017152311999,0.0,-0.06450769991081608
86,2023-05-08,171.02236938476562,171.3673772990156,169.65221959190652,170.01693107088172,55962800,-0.00040338385813520894,-0.00040346523928967617,164.2238655090332,157.98780853271484,,0.01550097458376276,0.2460703429666153,1.3893410513148812,1.3899017152311999,-0.00040338385813520785,-0.06450769991081608
87,2023-05-09,169.31710815429688,171.06182151405454,169.14953757945023,170.5788283985824,45326900,-0.009970983542113454,-0.010021026729597256,164.76453399658203,158.45799774169922,,0.015599721749357958,0.24763790562363977,1.3754879545578378,1.3899017152311999,-0.010370345266438112,-0.06450769991081608
88,2023-05-10,171.08151245117188,171.54480192353225,169.44521410372417,170.5492304195713,53724500,0.010420708905960696,0.010366787594268326,165.42792358398438,158.97352905273436,,0.015562081433870043,0.24704038413933355,1.3898215141359402,1.3899017152311999,-5.77027097533257e-05,-0.06450769991081608
